受注日,注文番号,商品コード,商品名,カテゴリ,数量,単価,小計,原価,在庫数
2026/07/04,ORD-10004,TS-001,プレミアムTシャツ ブラック,Tシャツ,2,4800,9600,1900,30
2026/07/04,ORD-10013,TS-001,プレミアムTシャツ ブラック,Tシャツ,2,4800,9600,1900,30
2026/07/04,ORD-10022,TS-001,プレミアムTシャツ ブラック,Tシャツ,2,4800,9600,1900,30
2026/07/04,ORD-10070,TS-002,プレミアムTシャツ ホワイト,Tシャツ,2,4800,9600,1900,120
2026/07/04,ORD-10105,TS-003,ロゴプリントTシャツ,Tシャツ,2,3200,6400,2500,100
2026/07/04,ORD-10110,TS-003,ロゴプリントTシャツ,Tシャツ,1,3200,3200,2500,100
2026/07/04,ORD-10112,TS-003,ロゴプリントTシャツ,Tシャツ,1,3200,3200,2500,100
2026/07/04,ORD-10123,PT-001,テーパードパンツ,パンツ,1,9800,9800,3900,12
2026/07/04,ORD-10127,PT-001,テーパードパンツ,パンツ,1,9800,9800,3900,12
2026/07/04,ORD-10161,OT-001,ウールジャケット,アウター,1,24000,24000,9000,0
2026/07/05,ORD-10001,TS-001,プレミアムTシャツ ブラック,Tシャツ,1,4800,4800,1900,30
2026/07/05,ORD-10021,TS-001,プレミアムTシャツ ブラック,Tシャツ,2,4800,9600,1900,30
2026/07/05,ORD-10048,TS-001,プレミアムTシャツ ブラック,Tシャツ,1,4800,4800,1900,30
2026/07/05,ORD-10073,TS-002,プレミアムTシャツ ホワイト,Tシャツ,1,4800,4800,1900,120
2026/07/05,ORD-10087,TS-002,プレミアムTシャツ ホワイト,Tシャツ,1,4800,4800,1900,120
2026/07/05,ORD-10093,TS-003,ロゴプリントTシャツ,Tシャツ,1,3200,3200,2500,100
2026/07/05,ORD-10119,TS-003,ロゴプリントTシャツ,Tシャツ,2,3200,6400,2500,100
2026/07/05,ORD-10134,PT-001,テーパードパンツ,パンツ,1,9800,9800,3900,12
2026/07/06,ORD-10025,TS-001,プレミアムTシャツ ブラック,Tシャツ,3,4800,14400,1900,30
2026/07/06,ORD-10047,TS-001,プレミアムTシャツ ブラック,Tシャツ,2,4800,9600,1900,30
2026/07/06,ORD-10069,TS-002,プレミアムTシャツ ホワイト,Tシャツ,1,4800,4800,1900,120
2026/07/06,ORD-10091,TS-003,ロゴプリントTシャツ,Tシャツ,2,3200,6400,2500,100
2026/07/06,ORD-10131,PT-001,テーパードパンツ,パンツ,3,9800,29400,3900,12
2026/07/07,ORD-10007,TS-001,プレミアムTシャツ ブラック,Tシャツ,2,4800,9600,1900,30
2026/07/07,ORD-10032,TS-001,プレミアムTシャツ ブラック,Tシャツ,2,4800,9600,1900,30
2026/07/07,ORD-10151,OT-001,ウールジャケット,アウター,1,24000,24000,9000,0
2026/07/07,ORD-10156,OT-001,ウールジャケット,アウター,1,24000,24000,9000,0
2026/07/08,ORD-10010,TS-001,プレミアムTシャツ ブラック,Tシャツ,1,4800,4800,1900,30
2026/07/08,ORD-10018,TS-001,プレミアムTシャツ ブラック,Tシャツ,1,4800,4800,1900,30
2026/07/08,ORD-10038,TS-001,プレミアムTシャツ ブラック,Tシャツ,1,4800,4800,1900,30
2026/07/08,ORD-10074,TS-002,プレミアムTシャツ ホワイト,Tシャツ,3,4800,14400,1900,120
2026/07/08,ORD-10085,TS-002,プレミアムTシャツ ホワイト,Tシャツ,2,4800,9600,1900,120
2026/07/08,ORD-10146,OT-001,ウールジャケット,アウター,3,24000,72000,9000,0
2026/07/09,ORD-10058,TS-002,プレミアムTシャツ ホワイト,Tシャツ,1,4800,4800,1900,120
2026/07/09,ORD-10082,TS-002,プレミアムTシャツ ホワイト,Tシャツ,2,4800,9600,1900,120
2026/07/09,ORD-10120,TS-003,ロゴプリントTシャツ,Tシャツ,1,3200,3200,2500,100
2026/07/09,ORD-10129,PT-001,テーパードパンツ,パンツ,3,9800,29400,3900,12
2026/07/10,ORD-10020,TS-001,プレミアムTシャツ ブラック,Tシャツ,1,4800,4800,1900,30
2026/07/10,ORD-10023,TS-001,プレミアムTシャツ ブラック,Tシャツ,2,4800,9600,1900,30
2026/07/10,ORD-10041,TS-001,プレミアムTシャツ ブラック,Tシャツ,2,4800,9600,1900,30
2026/07/10,ORD-10044,TS-001,プレミアムTシャツ ブラック,Tシャツ,2,4800,9600,1900,30
2026/07/10,ORD-10062,TS-002,プレミアムTシャツ ホワイト,Tシャツ,3,4800,14400,1900,120
2026/07/10,ORD-10065,TS-002,プレミアムTシャツ ホワイト,Tシャツ,2,4800,9600,1900,120
2026/07/10,ORD-10092,TS-003,ロゴプリントTシャツ,Tシャツ,1,3200,3200,2500,100
2026/07/10,ORD-10137,PT-001,テーパードパンツ,パンツ,2,9800,19600,3900,12
2026/07/11,ORD-10053,TS-001,プレミアムTシャツ ブラック,Tシャツ,1,4800,4800,1900,30
2026/07/11,ORD-10096,TS-003,ロゴプリントTシャツ,Tシャツ,2,3200,6400,2500,100
2026/07/11,ORD-10128,PT-001,テーパードパンツ,パンツ,3,9800,29400,3900,12
2026/07/11,ORD-10145,OT-001,ウールジャケット,アウター,2,24000,48000,9000,0
2026/07/11,ORD-10163,OT-001,ウールジャケット,アウター,1,24000,24000,9000,0
2026/07/12,ORD-10028,TS-001,プレミアムTシャツ ブラック,Tシャツ,1,4800,4800,1900,30
2026/07/12,ORD-10037,TS-001,プレミアムTシャツ ブラック,Tシャツ,2,4800,9600,1900,30
2026/07/12,ORD-10054,TS-001,プレミアムTシャツ ブラック,Tシャツ,3,4800,14400,1900,30
2026/07/12,ORD-10067,TS-002,プレミアムTシャツ ホワイト,Tシャツ,3,4800,14400,1900,120
2026/07/12,ORD-10115,TS-003,ロゴプリントTシャツ,Tシャツ,1,3200,3200,2500,100
2026/07/12,ORD-10142,OT-001,ウールジャケット,アウター,1,24000,24000,9000,0
2026/07/12,ORD-10159,OT-001,ウールジャケット,アウター,3,24000,72000,9000,0
2026/07/13,ORD-10017,TS-001,プレミアムTシャツ ブラック,Tシャツ,2,4800,9600,1900,30
2026/07/13,ORD-10066,TS-002,プレミアムTシャツ ホワイト,Tシャツ,3,4800,14400,1900,120
2026/07/13,ORD-10075,TS-002,プレミアムTシャツ ホワイト,Tシャツ,2,4800,9600,1900,120
2026/07/13,ORD-10103,TS-003,ロゴプリントTシャツ,Tシャツ,2,3200,6400,2500,100
2026/07/13,ORD-10104,TS-003,ロゴプリントTシャツ,Tシャツ,2,3200,6400,2500,100
2026/07/14,ORD-10009,TS-001,プレミアムTシャツ ブラック,Tシャツ,2,4800,9600,1900,30
2026/07/14,ORD-10034,TS-001,プレミアムTシャツ ブラック,Tシャツ,2,4800,9600,1900,30
2026/07/14,ORD-10049,TS-001,プレミアムTシャツ ブラック,Tシャツ,2,4800,9600,1900,30
2026/07/14,ORD-10083,TS-002,プレミアムTシャツ ホワイト,Tシャツ,3,4800,14400,1900,120
2026/07/15,ORD-10035,TS-001,プレミアムTシャツ ブラック,Tシャツ,1,4800,4800,1900,30
2026/07/15,ORD-10068,TS-002,プレミアムTシャツ ホワイト,Tシャツ,1,4800,4800,1900,120
2026/07/15,ORD-10077,TS-002,プレミアムTシャツ ホワイト,Tシャツ,1,4800,4800,1900,120
2026/07/15,ORD-10109,TS-003,ロゴプリントTシャツ,Tシャツ,1,3200,3200,2500,100
2026/07/15,ORD-10124,PT-001,テーパードパンツ,パンツ,2,9800,19600,3900,12
2026/07/15,ORD-10158,OT-001,ウールジャケット,アウター,1,24000,24000,9000,0
2026/07/16,ORD-10042,TS-001,プレミアムTシャツ ブラック,Tシャツ,2,4800,9600,1900,30
2026/07/16,ORD-10055,TS-001,プレミアムTシャツ ブラック,Tシャツ,2,4800,9600,1900,30
2026/07/16,ORD-10122,PT-001,テーパードパンツ,パンツ,1,9800,9800,3900,12
2026/07/16,ORD-10125,PT-001,テーパードパンツ,パンツ,2,9800,19600,3900,12
2026/07/16,ORD-10152,OT-001,ウールジャケット,アウター,2,24000,48000,9000,0
2026/07/16,ORD-10155,OT-001,ウールジャケット,アウター,1,24000,24000,9000,0
2026/07/16,ORD-10162,OT-001,ウールジャケット,アウター,1,24000,24000,9000,0
2026/07/16,ORD-10164,OT-001,ウールジャケット,アウター,1,24000,24000,9000,0
2026/07/17,ORD-10046,TS-001,プレミアムTシャツ ブラック,Tシャツ,1,4800,4800,1900,30
2026/07/17,ORD-10133,PT-001,テーパードパンツ,パンツ,1,9800,9800,3900,12
2026/07/17,ORD-10140,OT-001,ウールジャケット,アウター,1,24000,24000,9000,0
2026/07/18,ORD-10011,TS-001,プレミアムTシャツ ブラック,Tシャツ,1,4800,4800,1900,30
2026/07/18,ORD-10019,TS-001,プレミアムTシャツ ブラック,Tシャツ,1,4800,4800,1900,30
2026/07/18,ORD-10029,TS-001,プレミアムTシャツ ブラック,Tシャツ,1,4800,4800,1900,30
2026/07/18,ORD-10078,TS-002,プレミアムTシャツ ホワイト,Tシャツ,2,4800,9600,1900,120
2026/07/18,ORD-10094,TS-003,ロゴプリントTシャツ,Tシャツ,2,3200,6400,2500,100
2026/07/18,ORD-10114,TS-003,ロゴプリントTシャツ,Tシャツ,1,3200,3200,2500,100
2026/07/18,ORD-10135,PT-001,テーパードパンツ,パンツ,3,9800,29400,3900,12
2026/07/18,ORD-10143,OT-001,ウールジャケット,アウター,1,24000,24000,9000,0
2026/07/19,ORD-10005,TS-001,プレミアムTシャツ ブラック,Tシャツ,1,4800,4800,1900,30
2026/07/19,ORD-10015,TS-001,プレミアムTシャツ ブラック,Tシャツ,3,4800,14400,1900,30
2026/07/19,ORD-10016,TS-001,プレミアムTシャツ ブラック,Tシャツ,1,4800,4800,1900,30
2026/07/19,ORD-10026,TS-001,プレミアムTシャツ ブラック,Tシャツ,1,4800,4800,1900,30
2026/07/19,ORD-10052,TS-001,プレミアムTシャツ ブラック,Tシャツ,2,4800,9600,1900,30
2026/07/19,ORD-10063,TS-002,プレミアムTシャツ ホワイト,Tシャツ,3,4800,14400,1900,120
2026/07/19,ORD-10113,TS-003,ロゴプリントTシャツ,Tシャツ,1,3200,3200,2500,100
2026/07/20,ORD-10095,TS-003,ロゴプリントTシャツ,Tシャツ,1,3200,3200,2500,100
2026/07/20,ORD-10098,TS-003,ロゴプリントTシャツ,Tシャツ,2,3200,6400,2500,100
2026/07/20,ORD-10111,TS-003,ロゴプリントTシャツ,Tシャツ,1,3200,3200,2500,100
2026/07/20,ORD-10118,TS-003,ロゴプリントTシャツ,Tシャツ,1,3200,3200,2500,100
2026/07/20,ORD-10121,PT-001,テーパードパンツ,パンツ,1,9800,9800,3900,12
2026/07/20,ORD-10157,OT-001,ウールジャケット,アウター,3,24000,72000,9000,0
2026/07/21,ORD-10002,TS-001,プレミアムTシャツ ブラック,Tシャツ,2,4800,9600,1900,30
2026/07/21,ORD-10014,TS-001,プレミアムTシャツ ブラック,Tシャツ,1,4800,4800,1900,30
2026/07/21,ORD-10027,TS-001,プレミアムTシャツ ブラック,Tシャツ,2,4800,9600,1900,30
2026/07/21,ORD-10106,TS-003,ロゴプリントTシャツ,Tシャツ,2,3200,6400,2500,100
2026/07/22,ORD-10033,TS-001,プレミアムTシャツ ブラック,Tシャツ,2,4800,9600,1900,30
2026/07/22,ORD-10050,TS-001,プレミアムTシャツ ブラック,Tシャツ,1,4800,4800,1900,30
2026/07/22,ORD-10084,TS-002,プレミアムTシャツ ホワイト,Tシャツ,1,4800,4800,1900,120
2026/07/22,ORD-10088,TS-002,プレミアムTシャツ ホワイト,Tシャツ,1,4800,4800,1900,120
2026/07/22,ORD-10099,TS-003,ロゴプリントTシャツ,Tシャツ,3,3200,9600,2500,100
2026/07/23,ORD-10039,TS-001,プレミアムTシャツ ブラック,Tシャツ,1,4800,4800,1900,30
2026/07/23,ORD-10059,TS-002,プレミアムTシャツ ホワイト,Tシャツ,2,4800,9600,1900,120
2026/07/23,ORD-10097,TS-003,ロゴプリントTシャツ,Tシャツ,1,3200,3200,2500,100
2026/07/23,ORD-10139,OT-001,ウールジャケット,アウター,1,24000,24000,9000,0
2026/07/24,ORD-10043,TS-001,プレミアムTシャツ ブラック,Tシャツ,1,4800,4800,1900,30
2026/07/24,ORD-10061,TS-002,プレミアムTシャツ ホワイト,Tシャツ,1,4800,4800,1900,120
2026/07/24,ORD-10150,OT-001,ウールジャケット,アウター,2,24000,48000,9000,0
2026/07/24,ORD-10153,OT-001,ウールジャケット,アウター,1,24000,24000,9000,0
2026/07/25,ORD-10051,TS-001,プレミアムTシャツ ブラック,Tシャツ,1,4800,4800,1900,30
2026/07/25,ORD-10072,TS-002,プレミアムTシャツ ホワイト,Tシャツ,1,4800,4800,1900,120
2026/07/25,ORD-10136,PT-001,テーパードパンツ,パンツ,1,9800,9800,3900,12
2026/07/25,ORD-10144,OT-001,ウールジャケット,アウター,2,24000,48000,9000,0
2026/07/26,ORD-10056,TS-001,プレミアムTシャツ ブラック,Tシャツ,1,4800,4800,1900,30
2026/07/26,ORD-10102,TS-003,ロゴプリントTシャツ,Tシャツ,3,3200,9600,2500,100
2026/07/26,ORD-10147,OT-001,ウールジャケット,アウター,2,24000,48000,9000,0
2026/07/26,ORD-10148,OT-001,ウールジャケット,アウター,1,24000,24000,9000,0
2026/07/27,ORD-10024,TS-001,プレミアムTシャツ ブラック,Tシャツ,2,4800,9600,1900,30
2026/07/27,ORD-10064,TS-002,プレミアムTシャツ ホワイト,Tシャツ,3,4800,14400,1900,120
2026/07/27,ORD-10080,TS-002,プレミアムTシャツ ホワイト,Tシャツ,1,4800,4800,1900,120
2026/07/27,ORD-10090,TS-003,ロゴプリントTシャツ,Tシャツ,2,3200,6400,2500,100
2026/07/27,ORD-10130,PT-001,テーパードパンツ,パンツ,2,9800,19600,3900,12
2026/07/27,ORD-10149,OT-001,ウールジャケット,アウター,1,24000,24000,9000,0
2026/07/27,ORD-10166,OT-001,ウールジャケット,アウター,1,24000,24000,9000,0
2026/07/28,ORD-10081,TS-002,プレミアムTシャツ ホワイト,Tシャツ,2,4800,9600,1900,120
2026/07/28,ORD-10117,TS-003,ロゴプリントTシャツ,Tシャツ,1,3200,3200,2500,100
2026/07/28,ORD-10138,PT-002,ワイドイージーパンツ,パンツ,3,12000,36000,4800,200
2026/07/29,ORD-10079,TS-002,プレミアムTシャツ ホワイト,Tシャツ,1,4800,4800,1900,120
2026/07/29,ORD-10101,TS-003,ロゴプリントTシャツ,Tシャツ,2,3200,6400,2500,100
2026/07/29,ORD-10165,OT-001,ウールジャケット,アウター,2,24000,48000,9000,0
2026/07/30,ORD-10006,TS-001,プレミアムTシャツ ブラック,Tシャツ,1,4800,4800,1900,30
2026/07/30,ORD-10036,TS-001,プレミアムTシャツ ブラック,Tシャツ,2,4800,9600,1900,30
2026/07/30,ORD-10141,OT-001,ウールジャケット,アウター,1,24000,24000,9000,0
